elapsed_s,event,topic,payload
341.87,message,home/telemetry/402101906,"{""cpu_temp_c"": 48.3, ""timestamp"": ""2026-08-04T07:02:29Z"", ""student_id"": ""402101906""}"
343.92,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:02:30"", ""student_id"": ""402101906""}"
343.94,message,home/telemetry/402101906,"{""cpu_temp_c"": 46.1, ""timestamp"": ""2026-08-04T07:02:31Z"", ""student_id"": ""402101906""}"
345.83,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:02:32"", ""student_id"": ""402101906""}"
345.83,message,home/telemetry/402101906,"{""cpu_temp_c"": 39.8, ""timestamp"": ""2026-08-04T07:02:33Z"", ""student_id"": ""402101906""}"
347.83,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:02:35"", ""student_id"": ""402101906""}"
347.84,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.6, ""timestamp"": ""2026-08-04T07:02:35Z"", ""student_id"": ""402101906""}"
349.83,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:02:36"", ""student_id"": ""402101906""}"
349.84,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.9, ""timestamp"": ""2026-08-04T07:02:37Z"", ""student_id"": ""402101906""}"
351.84,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:02:39"", ""student_id"": ""402101906""}"
351.84,message,home/telemetry/402101906,"{""cpu_temp_c"": 46.5, ""timestamp"": ""2026-08-04T07:02:39Z"", ""student_id"": ""402101906""}"
353.84,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:02:40"", ""student_id"": ""402101906""}"
353.84,message,home/telemetry/402101906,"{""cpu_temp_c"": 50.1, ""timestamp"": ""2026-08-04T07:02:41Z"", ""student_id"": ""402101906""}"
355.84,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:02:43"", ""student_id"": ""402101906""}"
355.84,message,home/telemetry/402101906,"{""cpu_temp_c"": 48.3, ""timestamp"": ""2026-08-04T07:02:43Z"", ""student_id"": ""402101906""}"
357.86,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:02:44"", ""student_id"": ""402101906""}"
357.87,message,home/telemetry/402101906,"{""cpu_temp_c"": 46.3, ""timestamp"": ""2026-08-04T07:02:45Z"", ""student_id"": ""402101906""}"
359.84,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:02:47"", ""student_id"": ""402101906""}"
359.84,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.1, ""timestamp"": ""2026-08-04T07:02:47Z"", ""student_id"": ""402101906""}"
361.85,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:02:49"", ""student_id"": ""402101906""}"
361.86,message,home/telemetry/402101906,"{""cpu_temp_c"": 46.7, ""timestamp"": ""2026-08-04T07:02:49Z"", ""student_id"": ""402101906""}"
363.84,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:02:51"", ""student_id"": ""402101906""}"
363.85,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.1, ""timestamp"": ""2026-08-04T07:02:51Z"", ""student_id"": ""402101906""}"
365.85,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:02:53"", ""student_id"": ""402101906""}"
365.86,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.7, ""timestamp"": ""2026-08-04T07:02:53Z"", ""student_id"": ""402101906""}"
367.85,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:02:55"", ""student_id"": ""402101906""}"
367.85,message,home/telemetry/402101906,"{""cpu_temp_c"": 45.3, ""timestamp"": ""2026-08-04T07:02:55Z"", ""student_id"": ""402101906""}"
372.36,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:02:59"", ""student_id"": ""402101906""}"
372.36,message,home/telemetry/402101906,"{""cpu_temp_c"": 43.0, ""timestamp"": ""2026-08-04T07:02:59Z"", ""student_id"": ""402101906""}"
374.44,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:03:01"", ""student_id"": ""402101906""}"
374.45,message,home/telemetry/402101906,"{""cpu_temp_c"": 46.5, ""timestamp"": ""2026-08-04T07:03:01Z"", ""student_id"": ""402101906""}"
